,,,,,,,,,,,,,,,,,,,,,,R E C I P I E N T   R A C E ,,,,,,,E T H N I C I T Y ,,,HHOLD INCOME STATUS,
,,,,,,,,,,,,,,,,,,,,,,NATIVE,ASIAN,BLACK,PACIFIC ISLANDER,WHITE,MULTI,UNK /,HISPANIC,NON,UNK /,WITH,W/ ONLY
County,Post Office Location,Zip Code,Total  SNAP Households, Average Monthly SNAP Benefit per Household , Total Benefits Distributed 12/13 ,Total SNAP Recipients,Recipients 0-17,Recipients 18-64,Recipients 65+,Total Income-Eligible Individuals,Income-Eligible 0-17,Income-Eligible 18-64,Income-Eligible 65+,Total Income-Eligible but not Receiving ,Income-Eligible but not Receiving 0-17,Income-Eligible but not Receiving  18-64,Income-Eligible but not Receiving 65+,Total Participation Rate,Participation Rate 0-17,Participation Rate 18-64,Participation Rate 65+,AMERICAN,,,,,RACE,MISSING,,HISPANIC,MISSING,EARNED $,EARNED $
Smith,Flint,75762,308, $231.69 ," $71,359.00 ",697,333,321,43,1230,271,666,292,594,0,345,249,57%,100%,48%,15%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Smith,Tyler,75707,386, $259.00 ," $99,973.00 ",982,529,402,51,2678,630,1546,502,1696,101,1144,451,37%,84%,26%,10%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Smith,Tyler,75710,54, $190.89 ," $10,308.00 ",113,54,53,6,0,0,0,0,0,0,0,0,0%,0%,0%,0%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Smith,Lindale,75771,555, $255.98 ," $142,069.00 ",1427,763,600,64,2867,1068,1495,303,1439,305,895,239,50%,71%,40%,21%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Smith,Tyler,75701,1586, $235.03 ," $372,762.00 ",3695,1944,1524,227,10062,3376,5596,1089,6366,1432,4072,862,37%,58%,27%,21%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Smith,Tyler,75703,797, $254.33 ," $202,703.00 ",1904,976,852,76,6280,2243,3623,414,4376,1267,2771,338,30%,44%,24%,18%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Smith,Tyler,75711,80, $210.96 ," $16,877.00 ",185,93,86,6,0,0,0,0,0,0,0,0,0%,0%,0%,0%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Smith,Tyler,75706,600, $276.46 ," $165,876.00 ",1527,937,517,73,3464,1622,1749,93,1937,685,1232,20,44%,58%,30%,79%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Smith,Arp,75750,124, $275.69 ," $34,185.00 ",321,172,137,12,378,111,182,86,119,0,45,74,85%,100%,75%,14%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Somervell,Glen Rose,76043,293, $280.89 ," $82,302.00 ",729,393,298,38,982,201,581,199,444,0,283,161,74%,100%,51%,19%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Somervell,Rainbow,76077,11, $292.91 ," $3,222.00 ",29,13,16,0,162,0,77,85,146,0,61,85,18%,0%,21%,0%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Somervell,Nemo,76070,5, $170.80 , $854.00 ,10,4,5,1,36,0,0,36,35,0,0,35,27%,0%,0%,3%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Starr,Delmita,78536,32, $258.59 ," $8,275.00 ",81,42,32,7,143,41,71,31,63,0,39,24,57%,100%,45%,22%,0,0.010204082,0,0,0.193877551,0,0.785714286,0.959183673,0.010204082,0.030612245,0.535714286,0.464285714
