County,Post Office Location,Zip Code,Total  SNAP Households, Average Monthly SNAP Benefit per Household , Total Benefits Distributed 12/13 ,Total SNAP Recipients,Average Benefit per Recipient,Average Benefit per Meal ,Recipients 0-17,Recipients 18-64,Recipients 65+,Total Income-Eligible Individuals,Income-Eligible 0-17,Income-Eligible 18-64,Income-Eligible 65+,Total Income-Eligible but not Receiving ,Income-Eligible but not Receiving 0-17,Income-Eligible but not Receiving  18-64,Income-Eligible but not Receiving 65+,Total Participation Rate,Participation Rate 0-17,Participation Rate 18-64,Participation Rate 65+
Austin,San Felipe,77473,30, $236.77 ," $7,103.00 ",66, $107.62 , $1.20 ,32,31,3,50,0,34,16,16,0,3,13,100%,0%,91%,19%
Austin,Kenney,77452,9, $186.44 ," $1,678.00 ",16, $104.88 , $1.17 ,8,6,2,0,0,0,0,0,0,0,0,0%,0%,0%,0%
Austin,Industry,78944,24, $162.63 ," $3,903.00 ",41, $95.20 , $1.06 ,24,11,6,95,19,40,36,59,0,29,30,43%,100%,28%,17%
Austin,Bellville,77418,315, $250.14 ," $78,795.00 ",767, $102.73 , $1.14 ,448,282,37,1827,590,763,474,1060,142,481,437,42%,76%,37%,8%
Bailey,Maple,79344,2, $214.00 , $428.00 ,3, $142.67 , $1.59 ,1,1,1,0,0,0,0,0,0,0,0,0%,0%,0%,0%
Bailey,Enochs,79324,4, $462.00 ," $1,848.00 ",15, $123.20 , $1.37 ,7,6,2,0,0,0,0,0,0,0,0,0%,0%,0%,0%
Bandera,Tarpley,78883,5, $219.20 ," $1,096.00 ",9, $121.78 , $1.35 ,4,4,1,40,13,22,5,31,9,18,4,22%,31%,18%,19%
Bandera,Lakehills,78063,281, $239.28 ," $67,239.00 ",607, $110.77 , $1.23 ,248,325,34,1582,458,997,127,975,210,672,93,38%,54%,33%,27%
Bandera,Bandera,78003,461, $222.59 ," $102,616.00 ",966, $106.23 , $1.18 ,416,477,73,1710,642,844,224,744,226,367,151,56%,65%,56%,33%
Bandera,Vanderpool,78885,3, $336.67 ," $1,010.00 ",6, $168.33 , $1.87 ,3,2,1,6,0,0,6,5,0,0,5,93%,0%,0%,16%
Bastrop,MC Dade,78650,47, $278.96 ," $13,111.00 ",127, $103.24 , $1.15 ,65,59,3,291,70,209,12,164,5,150,9,44%,92%,28%,25%
Bastrop,Red Rock,78662,69, $291.59 ," $20,120.00 ",174, $115.63 , $1.28 ,84,85,5,485,243,231,11,311,159,146,6,36%,35%,37%,47%
Bastrop,Bastrop,78602,1219, $241.89 ," $294,863.00 ",2791, $105.65 , $1.17 ,1432,1197,162,4431,1566,2306,558,1639,134,1109,396,63%,91%,52%,29%
Bee,Tuleta,78162,14, $349.14 ," $4,888.00 ",43, $113.67 , $1.26 ,25,15,3,81,29,40,11,37,4,25,8,53%,85%,37%,27%
Bee,Beeville,78104,182, $207.92 ," $37,842.00 ",379, $99.85 , $1.11 ,172,163,44,62,54,8,0,0,0,0,0,100%,100%,100%,0%
Bee,Beeville,78102,1161, $247.93 ," $287,850.00 ",2821, $102.04 , $1.13 ,1475,1123,223,5693,2328,2705,660,2872,853,1582,437,50%,63%,42%,34%
Bee,Pettus,78146,32, $235.31 ," $7,530.00 ",76, $99.08 , $1.10 ,39,24,13,155,65,77,13,79,26,53,0,49%,60%,31%,97%
Bee,Pawnee,78145,13, $187.69 ," $2,440.00 ",23, $106.09 , $1.18 ,11,4,8,37,9,7,21,16,0,3,13,62%,100%,57%,38%
Bee,Skidmore,78389,114, $212.89 ," $24,270.00 ",234, $103.72 , $1.15 ,92,121,21,448,60,306,82,246,0,185,61,52%,100%,40%,26%
Bee,Normanna,78142,19, $223.95 ," $4,255.00 ",46, $92.50 , $1.03 ,24,19,3,121,31,78,12,75,7,59,9,38%,76%,24%,24%
Bee,Tynan,78391,21, $174.48 ," $3,664.00 ",45, $81.42 , $0.90 ,18,18,9,71,0,26,45,44,0,8,36,63%,0%,69%,20%
Bell,Little River Acade,76554,94, $247.29 ," $23,245.00 ",221, $105.18 , $1.17 ,115,95,11,417,186,181,49,195,71,86,38,53%,62%,52%,22%
Bell,Temple,76505,4, $245.75 , $983.00 ,7, $140.43 , $1.56 ,3,3,1,0,0,0,0,0,0,0,0,0%,0%,0%,0%
Bell,Temple,76504,1692, $255.71 ," $432,663.00 ",3999, $108.19 , $1.20 ,2091,1707,201,4839,1862,2433,544,1069,0,726,343,83%,100%,70%,37%
Bell,Nolanville,76559,226, $280.73 ," $63,444.00 ",603, $105.21 , $1.17 ,328,263,12,1259,671,588,0,668,343,325,0,48%,49%,45%,0%
Bell,Killeen,76543,1833, $288.21 ," $528,285.00 ",4702, $112.35 , $1.25 ,2576,1974,152,8141,3629,3951,561,3439,1053,1977,409,58%,71%,50%,27%
Bell,Holland,76534,116, $274.42 ," $31,833.00 ",299, $106.46 , $1.18 ,150,128,21,416,168,171,77,117,18,43,56,72%,89%,75%,27%
Bell,Killeen,76542,1550, $292.42 ," $453,244.00 ",4106, $110.39 , $1.23 ,2284,1690,132,7287,3156,3976,155,3181,872,2286,23,56%,72%,43%,85%
Bell,Pendleton,76564,9, $254.89 ," $2,294.00 ",22, $104.27 , $1.16 ,11,10,1,0,0,0,0,0,0,0,0,0%,0%,0%,0%
Bell,Temple,76503,93, $238.61 ," $22,191.00 ",205, $108.25 , $1.20 ,97,96,12,0,0,0,0,0,0,0,0,0%,0%,0%,0%
Bell,Belton,76513,1637, $269.87 ," $441,776.00 ",4163, $106.12 , $1.18 ,2239,1736,188,7292,2726,4080,487,3130,487,2344,299,57%,82%,43%,39%
Bell,Salado,76571,125, $252.54 ," $31,568.00 ",318, $99.27 , $1.10 ,165,143,10,699,173,342,185,382,8,199,175,45%,96%,42%,5%
